Date of Week End,Candidate,Platform,Spend
4/20/2019,Eric Swalwell,Facebook,1308
4/20/2019,Wayne Messam,Google,1200
4/27/2019,Joe Biden,Facebook,406860
4/27/2019,Donald Trump,Facebook,197824
4/27/2019,Elizabeth Warren,Facebook,100677
4/27/2019,Bernie Sanders,Facebook,96397
4/27/2019,Donald Trump,Google,94500
4/27/2019,Joe Biden,Google,93400
4/27/2019,Andrew Yang,Facebook,87737
4/27/2019,Jay Inslee,Facebook,56142
4/27/2019,Pete Buttigieg,Facebook,55992
4/27/2019,Pete Buttigieg,Google,49900
4/27/2019,Kamala Harris,Facebook,47682
4/27/2019,Beto O'Rourke,Facebook,39259
4/27/2019,Kamala Harris,Google,34600
4/27/2019,Elizabeth Warren,Google,34400
4/27/2019,Tulsi Gabbard,Google,28400
4/27/2019,Marianne Williamson,Facebook,27638
4/27/2019,Amy Klobuchar,Facebook,23691
4/27/2019,Cory Booker,Facebook,21191
4/27/2019,Amy Klobuchar,Google,19700
4/27/2019,Beto O'Rourke,Google,17500
4/27/2019,Tulsi Gabbard,Facebook,10921
4/27/2019,Kirsten Gillibrand,Facebook,10756
4/27/2019,Jay Inslee,Google,9100
4/27/2019,Seth Moulton,Facebook,8388
4/27/2019,Julián Castro,Facebook,8185
4/27/2019,Eric Swalwell,Google,7400
4/27/2019,Kirsten Gillibrand,Google,5800
4/27/2019,John Delaney,Facebook,4843
4/27/2019,John Hickenlooper,Google,3200
4/27/2019,Julián Castro,Google,3100
4/27/2019,John Hickenlooper,Facebook,3046
4/27/2019,Bernie Sanders,Google,2900
4/27/2019,Seth Moulton,Google,2800
4/27/2019,Cory Booker,Google,2600
4/27/2019,Andrew Yang,Google,1600
4/27/2019,Marianne Williamson,Google,1300
4/27/2019,Mike Gravel,Facebook,1060
4/27/2019,Tim Ryan,Facebook,933
4/27/2019,Tim Ryan,Google,900
4/27/2019,Eric Swalwell,Facebook,839
5/4/2019,Joe Biden,Facebook,315380
5/4/2019,Kamala Harris,Facebook,296633
5/4/2019,Donald Trump,Facebook,149610
5/4/2019,Donald Trump,Google,100400
5/4/2019,Elizabeth Warren,Facebook,97671
